"idx","lat","lng","acc","altitude","time","device_mac","app_version","droid_version","device_model","ssid","bssid","caps","level","freq"
"56800590","40.6915529","-73.9852182","21.658","0","1497926281438","b883c7e343eb726c","0.3.3","5.1.1","Nexus 4","fios-23s","48:5d:36:b6:c2:86","[wpa2-psk-ccmp][wps][ess]","-53","2437"
"56800591","40.6915529","-73.9852182","21.658","0","1497926281438","b883c7e343eb726c","0.3.3","5.1.1","Nexus 4","thesmith","c0:56:27:6e:cc:4c","[wpa-psk-tkip][wpa2-psk-ccmp][wps][ess]","-53","2437"
"56800592","40.6915529","-73.9852182","21.658","0","1497926281438","b883c7e343eb726c","0.3.3","5.1.1","Nexus 4","thesmith_5ghz","c0:56:27:6e:cc:4d","[wpa-psk-tkip][wpa2-psk-ccmp][wps][ess]","-69","5200"
"56800593","40.6915529","-73.9852182","21.658","0","1497926281438","b883c7e343eb726c","0.3.3","5.1.1","Nexus 4","smith 2.4","48:5d:36:b1:67:d2","[wpa2-psk-ccmp][wps][ess]","-78","2437"
"56800594","40.6915529","-73.9852182","21.658","0","1497926281438","b883c7e343eb726c","0.3.3","5.1.1","Nexus 4","fios-y2rmw","48:5d:36:98:fb:d6","[wpa2-psk-ccmp][wps][ess]","-72","2462"
"56800595","40.6915529","-73.9852182","21.658","0","1497926281438","b883c7e343eb726c","0.3.3","5.1.1","Nexus 4","fios-4ozzm","48:5d:36:b9:e7:44","[wpa2-psk-ccmp][wps][ess]","-86","2412"
"56800596","40.6915529","-73.9852182","21.658","0","1497926281438","b883c7e343eb726c","0.3.3","5.1.1","Nexus 4","smith 5","48:5d:36:b1:67:d0","[wpa2-psk-ccmp][wps][ess]","-82","5785"
"56800597","40.6915529","-73.9852182","21.658","0","1497926281438","b883c7e343eb726c","0.3.3","5.1.1","Nexus 4","alihomewifi","d8:0f:99:fe:16:c9","[wpa2-psk-ccmp][wps][ess]","-79","2412"
"56800598","40.6915529","-73.9852182","21.658","0","1497926281438","b883c7e343eb726c","0.3.3","5.1.1","Nexus 4","snoo_1426","e2:b9:4d:0f:16:0e","[wpa2-psk-ccmp][ess]","-86","2462"
"56800599","40.6915529","-73.9852182","21.658","0","1497926281438","b883c7e343eb726c","0.3.3","5.1.1","Nexus 4","modernvampiresofthecity","64:a5:c3:6d:30:f0","[wpa2-psk-ccmp][ess]","-82","2462"
